date,Druguse16to20,druguse20to24
2016 DEC,,
2017 JAN,,
2017 FEB,,
2017 MAR,16.53366679,21.01658824
2017 APR,,
2017 MAY,,
2017 JUN,,
2017 JUL,,
2017 AUG,,
2017 SEP,,
2017 OCT,,
2017 NOV,,
2017 DEC,,
2018 JAN,,
2018 FEB,,
2018 MAR,16.82929183,21.83325558
2018 APR,,
2018 MAY,,
2018 JUN,,
2018 JUL,,
2018 AUG,,
2018 SEP,,
2018 OCT,,
2018 NOV,,
2018 DEC,,
2019 JAN,,
2019 FEB,,
2019 MAR,18.38327642,21.71267362
2019 APR,,
2019 MAY,,
2019 JUN,,
2019 JUL,,
2019 AUG,,
2019 SEP,,
2019 OCT,,
2019 NOV,,
2019 DEC,,
2020 JAN,,
2020 FEB,,
2020 MAR,21.07712243,20.98816765
2020 APR,,
2020 MAY,,
2020 JUN,,
2020 JUL,,
2020 AUG,,
2020 SEP,,
2020 OCT,,
2020 NOV,,
2020 DEC,,
2021 JAN,,
2021 FEB,,
2021 MAR,,
2021 APR,,
2021 MAY,,
2021 JUN,,
2021 JUL,,
2021 AUG,,
2021 SEP,,
2021 OCT,,
2021 NOV,,
2021 DEC,,
2022 JAN,,
2022 FEB,,
2022 MAR,,
2022 APR,,
2022 MAY,,
2022 JUN,12.18983663,23.28593756
2022 JUL,,
2022 AUG,,
2022 SEP,,
